 Formula: Cu2O                                  Feff8L (EXAFS)       0.1
 SpaceGroup: Pn-3m
 AMCSD structure 15851
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=29 Rmt= 1.211 Rnm= 1.414 K  shell
 Pot 1 Z= 8 Rmt= 0.923 Rnm= 1.058
 Pot 2 Z=29 Rmt= 1.188 Rnm= 1.352
 Gam_ch=1.729E+00 H-L exch
 Mu= 7.594E-01 kf=2.100E+00 Vint=-1.605E+01 Rs_int= 1.727
 PATH  Rmax= 4.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    1      icalc       2
 -----------------------------------------------------------------------
   2   2.000   1.8412    2.3128    0.75939 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  29 Cu       absorbing atom
    -1.0630   -1.0630   -1.0630  1   8 O
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  3.6638E+00  3.7166E-05 -3.8785E+00  9.974E-01  1.8516E+01  2.1009E+00
  0.100  3.6639E+00  4.8689E-02 -4.2407E+00  9.975E-01  1.8536E+01  2.1032E+00
  0.200  3.6642E+00  9.6837E-02 -4.5901E+00  9.978E-01  1.8594E+01  2.1100E+00
  0.300  3.6647E+00  1.4393E-01 -4.9269E+00  9.983E-01  1.8687E+01  2.1213E+00
  0.400  3.6651E+00  1.8951E-01 -5.2512E+00  9.989E-01  1.8805E+01  2.1371E+00
  0.500  3.6653E+00  2.3321E-01 -5.5631E+00  9.998E-01  1.8939E+01  2.1572E+00
  0.600  3.6652E+00  2.7472E-01 -5.8625E+00  1.001E+00  1.9077E+01  2.1815E+00
  0.700  3.6645E+00  3.1384E-01 -6.1497E+00  1.002E+00  1.9203E+01  2.2099E+00
  0.800  3.6629E+00  3.5046E-01 -6.4247E+00  1.004E+00  1.9303E+01  2.2423E+00
  0.900  3.6601E+00  3.8452E-01 -6.6875E+00  1.005E+00  1.9359E+01  2.2786E+00
  1.000  3.6558E+00  4.1619E-01 -6.9382E+00  1.007E+00  1.9358E+01  2.3186E+00
  1.100  3.6497E+00  4.4527E-01 -7.1770E+00  1.010E+00  1.9287E+01  2.3621E+00
  1.200  3.6416E+00  4.7197E-01 -7.4038E+00  1.012E+00  1.9139E+01  2.4092E+00
  1.300  3.6310E+00  4.9640E-01 -7.6187E+00  1.015E+00  1.8910E+01  2.4596E+00
  1.400  3.6176E+00  5.1869E-01 -7.8217E+00  1.018E+00  1.8602E+01  2.5134E+00
  1.500  3.6011E+00  5.3889E-01 -8.0127E+00  1.022E+00  1.8222E+01  2.5703E+00
  1.600  3.5812E+00  5.5711E-01 -8.1918E+00  1.025E+00  1.7781E+01  2.6304E+00
  1.700  3.5576E+00  5.7340E-01 -8.3589E+00  1.030E+00  1.7296E+01  2.6937E+00
  1.800  3.5299E+00  5.8776E-01 -8.5139E+00  1.034E+00  1.6786E+01  2.7601E+00
  1.900  3.4978E+00  6.0019E-01 -8.6569E+00  1.039E+00  1.6269E+01  2.8297E+00
  2.000  3.4609E+00  6.1058E-01 -8.7877E+00  1.044E+00  1.5766E+01  2.9025E+00
  2.200  3.3719E+00  6.2471E-01 -9.0126E+00  1.054E+00  1.4883E+01  3.0579E+00
  2.400  3.2510E+00  6.2667E-01 -9.1878E+00  1.055E+00  1.4293E+01  3.2330E+00
